Data,Hora,TEMP(C),UR (%)
03/08/2020,01:00,16.3,
03/08/2020,02:00,15.8,
03/08/2020,03:00,15.2,
03/08/2020,04:00,14.5,
03/08/2020,05:00,14.0,
03/08/2020,06:00,13.2,
03/08/2020,07:00,12.5,
03/08/2020,08:00,14.0,
03/08/2020,09:00,17.1,
03/08/2020,10:00,20.4,
03/08/2020,11:00,22.0,
03/08/2020,12:00,23.5,
03/08/2020,13:00,25.1,
03/08/2020,14:00,25.5,
03/08/2020,15:00,26.0,
03/08/2020,16:00,25.7,
03/08/2020,17:00,25.0,
03/08/2020,18:00,23.0,
03/08/2020,19:00,19.4,
03/08/2020,20:00,20.4,
03/08/2020,21:00,19.8,
03/08/2020,22:00,19.0,
03/08/2020,23:00,18.1,
03/08/2020,24:00,17.6,
04/08/2020,01:00,16.7,
04/08/2020,02:00,16.4,
04/08/2020,03:00,15.8,
04/08/2020,04:00,15.2,
04/08/2020,05:00,14.4,
04/08/2020,06:00,13.7,
04/08/2020,07:00,13.1,
04/08/2020,08:00,14.3,
04/08/2020,09:00,17.0,
04/08/2020,10:00,19.2,
04/08/2020,11:00,21.4,
04/08/2020,12:00,24.0,
04/08/2020,13:00,25.1,
04/08/2020,14:00,26.0,
04/08/2020,15:00,26.7,
04/08/2020,16:00,26.6,
04/08/2020,17:00,25.9,
04/08/2020,18:00,24.5,
04/08/2020,19:00,22.4,
04/08/2020,20:00,20.7,
04/08/2020,21:00,19.7,
04/08/2020,22:00,18.7,
04/08/2020,23:00,17.6,
04/08/2020,24:00,17.1,
05/08/2020,01:00,16.2,
05/08/2020,02:00,15.7,
05/08/2020,03:00,15.0,
05/08/2020,04:00,14.4,
05/08/2020,05:00,13.9,
05/08/2020,06:00,13.4,
05/08/2020,07:00,13.1,
05/08/2020,08:00,14.2,
05/08/2020,09:00,17.0,
05/08/2020,10:00,19.5,
05/08/2020,11:00,22.0,
05/08/2020,12:00,23.6,
05/08/2020,13:00,25.1,
05/08/2020,14:00,26.2,
05/08/2020,15:00,27.0,
05/08/2020,16:00,26.9,
05/08/2020,17:00,26.3,
05/08/2020,18:00,24.7,
05/08/2020,19:00,22.9,
05/08/2020,20:00,21.4,
05/08/2020,21:00,20.3,
05/08/2020,22:00,18.7,
05/08/2020,23:00,17.7,
05/08/2020,24:00,16.8,
06/08/2020,01:00,16.2,
06/08/2020,02:00,15.4,
06/08/2020,03:00,14.4,
06/08/2020,04:00,13.1,
06/08/2020,05:00,13.4,
06/08/2020,06:00,11.9,
06/08/2020,07:00,11.0,
06/08/2020,08:00,13.3,
06/08/2020,09:00,18.1,
06/08/2020,10:00,20.7,
06/08/2020,11:00,21.9,
06/08/2020,12:00,23.8,
06/08/2020,13:00,25.2,
06/08/2020,14:00,26.7,
06/08/2020,15:00,27.0,
06/08/2020,16:00,27.1,
06/08/2020,17:00,26.1,
06/08/2020,18:00,24.8,
06/08/2020,19:00,23.0,
06/08/2020,20:00,21.6,
06/08/2020,21:00,20.3,
06/08/2020,22:00,19.2,
06/08/2020,23:00,18.0,
06/08/2020,24:00,17.6,
07/08/2020,01:00,16.2,
07/08/2020,02:00,15.6,
07/08/2020,03:00,14.5,
07/08/2020,04:00,13.9,
07/08/2020,05:00,12.3,
07/08/2020,06:00,11.0,
07/08/2020,07:00,10.3,
07/08/2020,08:00,13.4,
07/08/2020,09:00,18.5,
07/08/2020,10:00,20.7,
07/08/2020,11:00,22.3,
07/08/2020,12:00,24.0,
07/08/2020,13:00,25.3,
07/08/2020,14:00,26.3,
07/08/2020,15:00,26.7,
07/08/2020,16:00,26.4,
07/08/2020,17:00,25.8,
07/08/2020,18:00,23.1,
07/08/2020,19:00,19.1,
07/08/2020,20:00,17.0,
07/08/2020,21:00,17.7,
07/08/2020,22:00,18.2,
07/08/2020,23:00,18.4,
07/08/2020,24:00,17.8,
08/08/2020,01:00,17.4,
08/08/2020,02:00,16.9,
08/08/2020,03:00,16.2,
08/08/2020,04:00,15.5,
08/08/2020,05:00,15.3,
08/08/2020,06:00,14.9,
08/08/2020,07:00,14.0,
08/08/2020,08:00,15.5,
08/08/2020,09:00,17.9,
08/08/2020,10:00,21.0,
08/08/2020,11:00,23.5,
