Data,Hora,TEMP(C),UR(%)
03/08/2020,01:00,16.3,76
03/08/2020,02:00,15.8,77
03/08/2020,03:00,15.4,79
03/08/2020,04:00,14.9,79
03/08/2020,05:00,13.9,82
03/08/2020,06:00,13.3,84
03/08/2020,07:00,12.8,86
03/08/2020,08:00,13.8,87
03/08/2020,09:00,16.1,80
03/08/2020,10:00,19.7,62
03/08/2020,11:00,22.6,48
03/08/2020,12:00,24.3,39
03/08/2020,13:00,25.3,31
03/08/2020,14:00,25.7,28
03/08/2020,15:00,26.4,27
03/08/2020,16:00,26.5,27
03/08/2020,17:00,26.1,28
03/08/2020,18:00,23.9,32
03/08/2020,19:00,21.9,39
03/08/2020,20:00,20.5,51
03/08/2020,21:00,19.5,57
03/08/2020,22:00,18.4,62
03/08/2020,23:00,17.5,68
03/08/2020,24:00,17.2,70
04/08/2020,01:00,16.2,74
04/08/2020,02:00,15.4,76
04/08/2020,03:00,14.9,78
04/08/2020,04:00,14.3,80
04/08/2020,05:00,13.9,81
04/08/2020,06:00,13.3,82
04/08/2020,07:00,12.9,84
04/08/2020,08:00,13.8,82
04/08/2020,09:00,16.1,73
04/08/2020,10:00,19.5,59
04/08/2020,11:00,23.4,38
04/08/2020,12:00,24.9,32
04/08/2020,13:00,25.4,29
04/08/2020,14:00,26.0,27
04/08/2020,15:00,26.6,25
04/08/2020,16:00,27.1,25
04/08/2020,17:00,26.3,25
04/08/2020,18:00,24.7,30
04/08/2020,19:00,22.1,41
04/08/2020,20:00,20.8,41
04/08/2020,21:00,19.4,52
04/08/2020,22:00,17.9,64
04/08/2020,23:00,17.1,68
04/08/2020,24:00,16.5,69
05/08/2020,01:00,15.9,69
05/08/2020,02:00,15.4,70
05/08/2020,03:00,15.0,70
05/08/2020,04:00,14.4,73
05/08/2020,05:00,13.8,76
05/08/2020,06:00,13.4,78
05/08/2020,07:00,12.6,80
05/08/2020,08:00,13.4,81
05/08/2020,09:00,16.0,72
05/08/2020,10:00,20.0,54
05/08/2020,11:00,22.8,40
05/08/2020,12:00,24.3,36
05/08/2020,13:00,25.6,32
05/08/2020,14:00,25.8,31
05/08/2020,15:00,26.8,27
05/08/2020,16:00,26.9,24
05/08/2020,17:00,26.5,26
05/08/2020,18:00,24.8,32
05/08/2020,19:00,22.4,36
05/08/2020,20:00,21.1,39
05/08/2020,21:00,19.8,47
05/08/2020,22:00,18.5,61
05/08/2020,23:00,17.5,69
05/08/2020,24:00,16.4,74
06/08/2020,01:00,15.8,77
06/08/2020,02:00,15.1,79
06/08/2020,03:00,14.5,81
06/08/2020,04:00,13.8,82
06/08/2020,05:00,13.5,82
06/08/2020,06:00,12.8,83
06/08/2020,07:00,12.5,84
06/08/2020,08:00,13.4,84
06/08/2020,09:00,16.6,71
06/08/2020,10:00,21.2,47
06/08/2020,11:00,23.2,38
06/08/2020,12:00,24.2,35
06/08/2020,13:00,25.5,32
06/08/2020,14:00,26.0,30
06/08/2020,15:00,27.0,25
06/08/2020,16:00,26.8,25
06/08/2020,17:00,26.3,25
06/08/2020,18:00,24.8,29
06/08/2020,19:00,22.5,36
06/08/2020,20:00,21.4,38
06/08/2020,21:00,19.8,45
06/08/2020,22:00,18.8,50
06/08/2020,23:00,18.0,53
06/08/2020,24:00,17.1,55
07/08/2020,01:00,15.9,61
07/08/2020,02:00,14.9,66
07/08/2020,03:00,14.4,69
07/08/2020,04:00,13.7,72
