Date, Time, Temperature (C), Humidity (%)
2020-08-03,20:00:00,23.66,46.47
2020-08-03,20:30:00,22.82,48.49
2020-08-03,21:00:00,22.90,49.46
2020-08-03,21:30:00,22.61,50.68
2020-08-03,22:00:00,22.16,50.82
2020-08-03,22:30:00,22.02,51.60
2020-08-03,23:00:00,22.05,51.24
2020-08-03,23:30:00,22.11,50.14
2020-08-04,00:00:00,21.98,49.38
2020-08-04,00:30:00,22.11,49.01
2020-08-04,01:00:00,21.94,50.53
2020-08-04,01:30:00,21.88,50.96
2020-08-04,02:00:00,21.95,49.33
2020-08-04,02:30:00,21.89,49.40
2020-08-04,03:00:00,21.77,49.59
2020-08-04,03:30:00,21.68,49.53
2020-08-04,04:00:00,21.51,49.94
2020-08-04,04:30:00,21.57,50.47
2020-08-04,05:00:00,21.48,50.62
2020-08-04,05:30:00,21.47,50.28
2020-08-04,06:00:00,21.40,49.66
2020-08-04,06:30:00,21.20,49.69
2020-08-04,07:00:00,21.07,49.96
2020-08-04,07:30:00,21.02,50.30
2020-08-04,08:00:00,21.03,48.92
2020-08-04,08:30:00,20.95,48.66
2020-08-04,09:00:00,20.61,48.41
2020-08-04,09:30:00,20.64,48.10
2020-08-04,10:00:00,21.18,48.93
2020-08-04,10:30:00,21.06,47.28
2020-08-04,11:00:00,21.22,45.41
2020-08-04,11:30:00,21.76,47.57
2020-08-04,12:00:00,21.52,47.12
2020-08-04,12:30:00,21.57,46.26
2020-08-04,13:00:00,21.99,42.63
2020-08-04,13:30:00,22.20,40.52
2020-08-04,14:00:00,22.44,39.14
2020-08-04,14:30:00,22.61,38.49
2020-08-04,15:00:00,22.95,37.00
2020-08-04,15:30:00,23.41,36.51
2020-08-04,16:00:00,24.04,36.31
2020-08-04,16:30:00,23.86,36.72
2020-08-04,17:00:00,23.50,38.36
2020-08-04,17:30:00,23.42,39.77
2020-08-04,18:00:00,23.42,41.28
2020-08-04,18:30:00,23.38,41.52
2020-08-04,19:00:00,23.13,41.21
2020-08-04,19:30:00,22.88,40.36
2020-08-04,20:00:00,22.75,38.75
2020-08-04,20:30:00,22.79,43.12
2020-08-04,21:00:00,22.76,46.35
2020-08-04,21:30:00,22.68,46.99
